City,Lat,Lon,Mean
Costa Mesa,33.6209027,-117.9165233,126351
Costa Mesa,33.6467702,-117.9435747,99411
Costa Mesa,33.648437,-117.9275396,39435
Costa Mesa,33.6763992,-117.9275165,106095
Costa Mesa,33.6655719,-117.9278881,96488
Costa Mesa,33.6714531,-117.8988944,128210
Costa Mesa,33.6333298,-117.868556,138485
Costa Mesa,33.6313441,-117.9133028,100482
Costa Mesa,33.6642944,-117.9411674,94773
Cotati,38.3395569,-122.719615,46420
Coto De Caza,33.5764464,-117.5835223,156168
Cottonwood,40.4098262,-122.2369837,62102
Cottonwood,40.4092192,-122.3407929,57984
Cottonwood,40.3210457,-122.3353367,63362
Coulterville,37.6729487,-120.1089266,63827
Covina,34.102483,-117.856315,74506
Covina,34.0914898,-117.8557417,87587
Covina,34.087543,-117.8722435,103426
Covina,34.0921972,-117.9121014,72862
Covina,34.0922319,-117.9014269,88115
Covina,34.076424,-117.8979153,56555
Covina,34.0914898,-117.8557417,103756
Crescent City,41.7597759,-124.1632913,56914
Crescent City,41.7804545,-124.2396505,58992
Creston,35.5087571,-120.5564311,80023
Crockett,38.0244713,-122.2276055,89975
Cudahy,33.9675181,-118.1714087,45559
Cudahy,33.9681673,-118.1971314,44711
Cudahy,33.9653735,-118.2006924,54788
Cudahy,33.9660331,-118.1829301,42923
Culver City,33.9864759,-118.4066251,93754
Culver City,34.0146198,-118.3963576,146052
Culver City,34.0058662,-118.400984,126258
Culver City,33.9970127,-118.3818632,95022
Cupertino,37.3192975,-122.0756805,165140
Cupertino,37.3022849,-122.0379286,164335
Cupertino,37.3171021,-122.0102665,133736
Cupertino,37.2926806,-122.1197085,155656
Cupertino,37.2986719,-122.0614991,163349
Cupertino,37.3166391,-122.0226591,125409
Cypress,33.8205123,-118.0500218,166830
Cypress,33.8205123,-118.0500218,160663
Daly City,37.700941,-122.464979,88415
Daly City,37.7021372,-122.4317734,116068
Daly City,37.6970765,-122.4568827,95197
Daly City,37.6922564,-122.489464,104553
Daly City,37.6810689,-122.4788123,86364
Daly City,37.6554797,-122.4609946,117427
Daly City,37.7021372,-122.4317734,103089
Dana Point,33.4800988,-117.6965584,99085
Danville,37.8065479,-121.9040691,154342
Danville,37.7992823,-121.9650943,165658
Danville,37.8051342,-122.0221059,93531
Danville,37.8447287,-121.9758049,145390
Danville,37.8065479,-121.9040691,158484
Davis,38.5764495,-121.7588856,73944
Davis,38.5482763,-121.7359245,62428
Davis,38.5409072,-121.7024174,72040
Davis,38.553635,-121.7633224,57346
Davis,38.5524808,-121.7731039,96931
Del Mar,32.9516034,-117.2502783,131231
Delano,35.763183,-119.26356,46670
Delano,35.783063,-119.312322,0
Delano,35.7830778,-119.2321782,43192
Denair,37.5227998,-120.7482737,105985
Desert Hot Springs,33.9732868,-116.4887516,60723
Desert Hot Springs,33.9650257,-116.5060565,30480
Diamond Bar,34.001573,-117.817601,101668
Diamond Bar,34.0052004,-117.7963291,116330
Diamond Bar,33.9789045,-117.816738,74100
Diamond Bar,34.0317744,-117.7984846,94162
Dinuba,36.5281824,-119.4459533,71310
Dinuba,36.5384543,-119.3859943,40964
Dixon,38.4198882,-121.7998024,82020
Dixon,38.4598591,-121.8314911,66933
Dos Palos,36.9746245,-120.6220705,59484
Dos Palos,37.0439737,-120.6551864,51677
Downey,34.3263984,-118.4796123,84852
Downey,34.1521556,-117.7176795,166860
Downey,34.0096885,-118.1751711,56499
